# Simulated light curve
# model: OneBendPowerLaw
# input parameters: A,alpha_1,f_1,alpha_2
# [ 1.         -0.4593966   0.15605791 -3.02679189]
# Fvar:0.889744514279849
# FoM:47.14816724953128
# seed: 819692
# seed_gaps: 599353
# Time	Value	Error
7.500000000000000000e-01 1.746040341621412528e+00 2.215256401017845836e-02
2.500000000000000000e+00 9.369496287843352977e-01 1.844198340325442845e-02
3.750000000000000000e+00 1.291099589739765907e+00 2.333342557641327267e-02
7.250000000000000000e+00 4.155707856090064545e-01 9.290873444388517144e-03
1.025000000000000000e+01 3.796793678740091882e-01 9.449907962846225071e-03
1.075000000000000000e+01 1.129231023214032570e+00 1.091924140830331270e-02
1.150000000000000000e+01 1.310407512167507171e+00 1.369697171891082199e-02
1.175000000000000000e+01 9.970540128109063316e-01 1.664369826298814706e-02
1.225000000000000000e+01 9.320963766844554410e-01 1.122249278021750750e-02
1.250000000000000000e+01 1.170615172891142253e+00 2.004010842243495252e-02
1.300000000000000000e+01 1.796609509246996694e+00 1.627200485643848574e-02
1.375000000000000000e+01 8.347486369481044166e-01 1.012150999016814268e-02
1.625000000000000000e+01 4.878232993500103420e-01 1.004675759875391615e-02
1.650000000000000000e+01 4.751005310982883145e-01 6.963708357008641277e-03
1.675000000000000000e+01 4.697888730179816119e-01 1.997304917606393046e-02
1.825000000000000000e+01 2.482241047001697565e-01 1.823729550919878442e-02
1.875000000000000000e+01 2.004640539646670439e-01 4.721444247820698846e-03
1.950000000000000000e+01 4.383190717578354656e-01 1.274734083256142889e-02
2.075000000000000000e+01 9.583406241472099962e-01 2.323273550436964416e-02
2.175000000000000000e+01 2.018720265462370933e-01 9.830528049851449193e-03
2.250000000000000000e+01 1.839912496185944490e-01 8.610176192343251336e-03
2.425000000000000000e+01 3.501931768929725242e-01 7.598219641197016296e-03
2.450000000000000000e+01 4.056990542215320183e-01 1.121596241748682408e-02
2.500000000000000000e+01 4.365994261676426902e-01 1.305548925724789658e-02
2.575000000000000000e+01 5.228174397218279257e-01 8.119904273473369655e-03
2.650000000000000000e+01 7.715849443606311864e-01 1.010783886343859933e-02
2.775000000000000000e+01 6.325951774968725516e-01 1.213303347006857227e-02
2.800000000000000000e+01 6.318207590810893670e-01 2.083835064270699380e-02
3.050000000000000000e+01 1.257641710887070330e+00 1.425857266705868667e-02
3.375000000000000000e+01 1.241788403435283294e+00 1.561291920183934673e-02
3.550000000000000000e+01 7.289420604689427208e-01 8.705489790667526526e-03
3.625000000000000000e+01 6.930215577330308685e-01 1.119594241513537092e-02
3.775000000000000000e+01 9.457443418110029754e-01 1.896609135027113938e-02
3.825000000000000000e+01 9.777704390673955803e-01 2.405667648613430548e-02
4.000000000000000000e+01 8.327056505200325365e-01 1.000808386702640128e-02
4.025000000000000000e+01 8.906662081718046409e-01 1.451671625425593644e-02
4.100000000000000000e+01 5.279744999461983834e-01 1.679566840610808784e-02
4.350000000000000000e+01 2.319608266600876156e+00 1.653914688062615643e-02
4.400000000000000000e+01 3.169056969400287027e+00 4.162921183188566382e-02
4.625000000000000000e+01 7.612228527985717141e-01 2.149852338097934731e-02
4.875000000000000000e+01 1.689301061195899845e+00 1.986929981720711447e-02
5.250000000000000000e+01 2.144094258039847545e-01 7.052672840621396558e-03
5.275000000000000000e+01 1.600062671882353516e-01 1.199502377123628886e-02
